machine_id,block_id,day,shift_id,assigned
fb_01,B77718,21,S3,1
fb_02,B77718,21,S3,1
fb_03,B77718,21,S3,1
fb_01,B77718,22,S1,1
fb_02,B77718,22,S1,1
fb_03,B77718,22,S1,1
ld_01,B81779,22,S1,1
ld_02,B81779,22,S1,1
pr_01,B76319,22,S1,1
pr_02,B76319,22,S1,1
pr_03,B76319,22,S1,1
sk_01,B77718,22,S1,1
fb_01,B77718,22,S2,1
fb_02,B77718,22,S2,1
fb_03,B77718,22,S2,1
pr_01,B76319,22,S2,1
pr_02,B77718,22,S2,1
pr_03,B77252,22,S2,1
fb_01,B77718,22,S3,1
fb_02,B77718,22,S3,1
fb_03,B77718,22,S3,1
pr_01,B77252,22,S3,1
pr_02,B77252,22,S3,1
fb_01,B77718,23,S1,1
fb_02,B77718,23,S1,1
fb_03,B77718,23,S1,1
ld_01,B76319,23,S1,1
ld_02,B76319,23,S1,1
ld_03,B77252,23,S1,1
pr_01,B77718,23,S1,1
pr_02,B77718,23,S1,1
sk_01,B77718,23,S1,1
sk_02,B77718,23,S1,1
fb_01,B77718,23,S2,1
fb_02,B77718,23,S2,1
fb_03,B77718,23,S2,1
fb_01,B77718,23,S3,1
fb_02,B77718,23,S3,1
fb_03,B77718,23,S3,1
fb_01,B77718,24,S1,1
ld_01,B77718,24,S1,1
pr_01,B77718,24,S1,1
pr_02,B77718,24,S1,1
pr_03,B77718,24,S1,1
sk_01,B77718,24,S1,1
ld_01,B77718,25,S1,1
ld_02,B77718,25,S1,1
pr_01,B77718,25,S1,1
sk_01,B77718,25,S1,1
pr_01,B77718,26,S1,1
pr_02,B77718,26,S1,1
ld_01,B77718,27,S1,1
ld_02,B77718,27,S1,1
